Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
238227812,The Perfect Circle,Claudia Petrucci,"Petrucci, Claudia",,"=""1642861634""","=""9781642861631""",0,0.0,World Editions,Paperback,242,2026,,,2025/11/17,currently-reading,currently-reading (#1),currently-reading,,,,1,0
753347,"Virtual Vandals (Tom Clancy's Net Force Explorers, #1)",Diane Duane,"Duane, Diane","Tom Clancy, Steve Pieczenik","=""0747260710""","=""9780747260714""",0,4.00,Headline Feature,Paperback,216,1998,1998,,2022/12/28,"to-read, science-fiction, owned","to-read (#3), science-fiction (#39), owned (#117)",to-read,,,,0,0
29624025,"The Space Merchants (The Space Merchants, #1)",Frederik Pohl,"Pohl, Frederik",C.M. Kornbluth,"=""""","=""""",3,3.83,Gollancz,Paperback,192,2003,1952,2025/11/16,2025/11/12,"audiobooked, libraried, read-in-2025, science-fiction, sf-masterworks","audiobooked (#28), libraried (#3), read-in-2025 (#52), science-fiction (#100), sf-masterworks (#19)",read,"I’m glad this went in a more exciting direction than the blurb promised but still a somewhat middle of the road sci fi story, fun but not too deep.<br/><br/>The plot followed a nice arc and the characters were fun but I struggled to understand their motivations at times, nevertheless the main character was fun to follow and very driven.<br/><br/>I’ll probably read the second one given there are only two and this was so short ",,,1,0
2037401,"The Merchants' War (The Space Merchants, #2)",Frederik Pohl,"Pohl, Frederik",,"=""0312902409""","=""9780312902407""",0,3.71,St Martin's Press,Mass Market Paperback,296,1986,1981,,2025/11/16,to-read,to-read (#208),to-read,,,,0,0
13793239,Do Androids Dream of Electric Sheep?,Philip K. Dick,"Dick, Philip K.",Graham Sleight,"=""1780220383""","=""9781780220383""",4,4.09,Phoenix,Paperback,193,2012,1968,2025/11/16,2025/11/16,"audiobooked, libraried, read-in-2025, science-fiction, sf-masterworks","audiobooked (#27), libraried (#2), read-in-2025 (#51), science-fiction (#99), sf-masterworks (#18)",read,"I’ll start with the necessary statement that the book was so drastically different from the film that I won’t be comparing them. Oh and also there will definitely be spoilers for the book<br/><br/>Before I read this I never really understood what the title really meant, to be honest I thought it was about counting sheep to get to sleep, an interesting but hardly meaningful title, but really it served to works to show the mirror between Decker and the androids. At the very start of the novel we are introduced to Decker’s electric sheep, which he had to buy to avoid the shame of letting his real sheep die, and his constant desire to get enough money to buy another sheep. In many ways animals in the book serve as a metaphor for his desire for success, from the goat he buys after his first set of successes to the toad at the very end. So then to circle back the title what it was really asking was do androids have hopes and dreams. After this realisation I was very glad that I did get a copy with the original name not the renamed ones with the film title as that truly is meaningless and actually comes from a completely different book.<br/><br/>Anyway this had far more philosophical themes than I’d imagined it would, through the concept of mercerism, a sort of religion surrounding sharing your emotions by connecting to a box that combines your mind with everyone else and shows you Mercer climbing a hill while rocks are chucked at him but also the very interesting choice to have almost all of the androids have a deep sense of respect for a human’s ability to have empathy, something they cannot do and importantly how they get detected and killed. I think this aspect of respect and jealously ironically humanised the androids because trying to imagine a life where you are completely able to understand something that is able to unite huge groups of people but never having access would eat away at me too, which is why of course in their they seeked to disprove Mercer is real in a hope to destroy the human sense of connection which divides them from the androids. <br/><br/>Back to Decker’s characterisation though and his animals, his arc throughout the story was almost the opposite, he gained empathy for androids as he realised he wasn’t able to properly distinguish humans and androids without the testing any more, because he had no choice to have empathy for all people rather than cast both groups out. That’s why in the end when he thinks he finds a toad in the desert, which was previously thought to be extinct, his excitement does not fade when he discovers it was an electric toad, because the journey he has taken has stripped down the barrier he had between living creatures and electric creatures, he can be content with looking after an animal no matter its constitution.<br/><br/>This has kind of rambled which I do regret but I’d definitely recommend you reading it and hopefully my half baked analysis hasn’t spoiled it <br/>",,,1,0
208430658,Blood Over Bright Haven,M.L. Wang,"Wang, M.L.",,"=""0593873351""","=""9780593873359""",4,4.35,Del Rey,Hardcover,430,2024,2023,2025/11/16,2025/11/06,"audiobooked, book-club, kindled, low-fantasy, read-in-2025, science-fiction","audiobooked (#26), book-club (#6), kindled (#26), low-fantasy (#47), read-in-2025 (#50), science-fiction (#98)",read,"I think the greatest strength and weakness of this book was the fact that’s it’s (currently) a strictly standalone novel, which meant the arcs did actually finish within the book. One of my biggest gripes with modern fantasy literature is they are always setting up millions of sequels and it makes the first few entries nothing but setup and background, which this doesn’t do. I found the characters very compelling although some areas were left a little unanswered, like the whole father thing, but at least they all acted humanly. <br/><br/>I did like how the magic was presented, perhaps because it was essentially just computer programming which I personally enjoy, but it also felt unique from other stories which made the novel stand out.<br/><br/>I’d give it a definite recommendation to read if you like programming and magic ",,,1,0
232369393,"The Rose Field (The Book of Dust, #3)",Philip Pullman,"Pullman, Philip",,"=""0241458692""","=""9780241458693""",5,3.82,Penguin and David Fickling Books,Hardcover,622,2025,2025,2025/11/15,2025/10/11,"low-fantasy, owned, read-in-2025","low-fantasy (#46), owned (#250), read-in-2025 (#49)",read,"What a great finale to the His Dark Materials hexalogy, it followed strongly from the previous novel with a more restrained tone, marking the difference between Lyra’s childhood wonder in the Northern Lights to a more adult emptiness as her story continues even after being the chosen one. It wrapped it up neatly and I wish I had chosen to reread the previous five before this so I could have greater comprehended the connections. ",,,1,0
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,"=""0553588486""","=""9780553588484""",0,4.45,Bantam,Mass Market Paperback,835,2005,1996,2022/06/14,2022/10/06,"high-fantasy, loaned","high-fantasy (#7), loaned (#5)",read,,,,1,0
485894,The Metamorphosis,Franz Kafka,"Kafka, Franz",Stanley Corngold,"=""0553213695""","=""9780553213690""",4,3.90,Bantam Classics,Mass Market Paperback,201,1972,1915,2022/10/06,2022/10/06,"classics, kindled","classics (#7), kindled (#25)",read,,,,1,0
49946305,The Yellow Wallpaper,Charlotte Perkins Gilman,"Gilman, Charlotte Perkins",,"=""1542023203""","=""9781542023207""",4,4.07,AmazonClassics,Kindle Edition,30,2020,1892,2023/05/23,2023/05/21,"classics, kindled","classics (#21), kindled (#24)",read,"Was short, was good, was scary. An interesting critique of contemporary views of mental illness and traditional gender roles. Definitely recommend people read it as I managed it in 20 minutes so nice and easy to get though.",,,1,0
